id	isbn	name	author	publishing	publisheddate	price	pages	allnum
195	9787535774408	我的简史	霍金	湖南科技	2014	42	100	2
196	9787229099800	破晓的军队全两册 	阿特金森	重庆	2015	69.9	100	2
197	9787555004585	谷文昌的故事	张红		2016	38	100	2
198	9787556815364	千古悲摧帝王侯--海昏侯刘贺的前世今生	黎隆武		2016	25	100	2
199	9787513319775	我是天生引诱者:贝卢斯科尼的金钱.政治与性	弗里德曼	新星	2016	58	100	2
200	9787010159034	战略对话--戴秉国回忆录	戴秉国	人民	2016	66	100	2
201	9787543088580	懒人统治世界	珍.耶格尔	武汉	2015	35	100	2
202	9787020106844	路遥传	厚夫	人民文学	2015	29	100	2
203	9787108056641	无悔:陈明忠回忆录	李娜	三联书店	2016	48	100	2
204	9787220096266	1966-1976年中国国民经济概况	陈东林	四川人民	2016	58	100	2
205	9787510832413	简明中国现代史	冯客	九州	2016	32.8	100	2
206	9787505135062	普京传:不可替代的俄罗斯硬汉	希尔.加迪	红旗	2015	59	100	2
207	9787303160877	牛津古罗马史	约翰.博德曼	北 师 大	2015	75	100	2
208	9787108055415	幸运男孩:从奥斯维辛集中营幸存的回忆	伯根索尔	三联书店	2016	35	100	2
209	9787515405308	胡乔木传上下册 	胡乔木传编写组	当代中国	2015	120	100	2
210	9787510454073	疯评:在互联网+时代-如何让你的产品和服务站上风口	唐瑟尔	新 世 界	2015	38	100	2
211	9787305102844	致命的海滩--澳大利亚流犯流放史:1787-1868	休斯	南京大学	2014	68	100	2
212	9787539986173	你的团队需要一个会讲故事的人	西蒙斯	江苏文艺	2016	36	100	2
213	9787535486523	时代微影:中国角色	张晨初	长江文艺	2016	88	100	2
214	9787010148441	中国抗日战争史简明读本	本书编写组	人民	2015	30	100	2
215	9787802568723	飞跃5000年	斯考森	群言	2015	78	100	2
216	9787303193455	牛津古希腊史	约翰.博德曼	北 师 大	2015	75	100	2
217	9787101108477	是非疲劳	林夕	中华书局	2015	26	100	2
218	9787121242151	万万没想到:用理工科思维理解世界	万维钢	电子工业	2014	39.8	100	2
219	9787535780348	国家为什么会失败	阿西莫格鲁罗宾逊	湖南科技	2015	75	100	2
220	9787506090681	抓住好风险	宫内义彦	人民	2016	42	100	2
221	9787101115765	一本书备考经典名著中考版 	中华书局编辑部	中华书局	2016	36	100	2
222	9787508654454	阿里传:这是阿里巴巴的世界	埃里斯曼	中信	2015	49	100	2
223	9787508651828	读懂互联网+	曾明.李明	中信	2015	45	100	2
224	9787101113198	烟云过:张伯驹传	郑重	中华书局	2016	45	100	2
225	9787535787620	世界是平的 21世纪简史 3.0版内容升级和扩充版 	弗里德曼	湖南科技	2016	68	100	2
226	9787508646183	日航重生:稻盛和夫如何将破产企业打造为世界一流公司	引关麻实	中信	2014	38	100	2
227	9787213072253	扯扯袖子 咬咬耳朵: 廉政风险防控教育情景100例修订版 	哲纪	浙江人民	2016	48	100	2
228	9787511730145	女人的房间	彭怡平	中央编译	2016	98	100	2
229	9787539989815	将军和他的子女们--一段德国历史	恩岑斯贝格尔	江苏文艺	2016	30	100	2
230	9787208131293	弯道超车--从德国工业4.0到中国制造2025	贝格	上海人民	2015	35	100	2
231	9787532949618	琥珀眼睛的兔子	德瓦尔	山东文艺	2015	39.8	100	2
232	9787213066443	为你-耶路撒冷上下册 	科林斯拉皮埃尔	浙江人民	2015	79.8	100	2
